articles
a1;Uno Junior;SOC;PE;N;5;200
a2;Poupée Léa;FIG;PE;TB;7;350
a3;Cubes empilables;CON;PE;B;4;300
a4;Trottinette 3 roues;EXT;PE;N;15;900
a5;Livre cache-cache;LIV;PE;TB;3;150
a6;Puzzle animaux;EVL;PE;N;6;250
a7;Risk Junior;SOC;EN;B;9;500
a8;Figurine chevalier;FIG;EN;N;6;200
a9;Lego City;CON;EN;TB;20;700
a10;Corde à sauter;EXT;EN;N;2;100
a11;Globe interactif;EVL;EN;B;18;600
a12;Peluche musicale;EVL;BB;TB;8;250
a13;Livre tissu jungle;LIV;BB;N;4;100
a14;Hochet dentition;EVL;BB;B;3;80
a15;Cube sensoriel;CON;BB;TB;5;200

abonnes
s1;Emma;PE;SOC,FIG,EVL,CON,LIV,EXT
s2;Hugo;EN;EXT,CON,EVL,SOC,FIG,LIV
s3;Chloé;BB;EVL,LIV,CON,FIG,SOC,EXT
s4;Léa;PE;FIG,EVL,SOC,LIV,CON,EXT

parametres
1500
